id,title,domain,severity,effort,files,evidence,recommendation,cve
SEC-02,Upload size limit bypassable; full body read into memory,security,High,S,src/audio_processor/api/routes.py,routes.py:117-127 trusts content-length header; routes.py:156 await file.read() unbounded before any cap,Stream the upload in chunks and abort once cumulative bytes exceed settings.max_file_size_bytes.,
DOCS-02,README install uses invalid uv extras syntax,docs,High,S,README.md,"README.md:87-88 `uv sync --all-extras,ml` is not valid uv syntax",Remove line 88 (--all-extras already covers ml) or use `uv sync --extra ml`.,
DEP-01,ffmpeg-python abandoned (last release 2019-07-06),dependencies,High,M,pyproject.toml;uv.lock,pyproject.toml:161 ffmpeg-python>=0.2.0; PyPI last release 0.2.0 on 2019-07-06 (~6y10m),Migrate to a maintained wrapper or call ffmpeg via subprocess with validated args; treat current pin as frozen.,
ARCH-01,preprocessing/ is a parallel orphaned reimplementation of services/,architecture,High,M,src/audio_processor/preprocessing/;src/audio_processor/services/,preprocessing/vad.py:58 vs services/vad_processor.py:81; no production importer of preprocessing.*; tech-spec.md:110-111 names services classes as canonical,"Pick one home: delete preprocessing/ and its tests, or demote it to a helper layer that services/ actually calls.",
ARCH-03,Spec-mandated VAD/conditioning not wired into the pipeline,architecture,High,M,src/audio_processor/jobs/audio_tasks.py;src/audio_processor/services/audio_conditioner.py;src/audio_processor/services/vad_processor.py,audio_tasks.py:99-136 uses only converter+assessor; ADR-002 mandates VAD+RMS; AudioConditioner/VADProcessor/DOMBuilder/TranscriptFormatter have zero production callers,"Integrate AudioConditioner/VADProcessor per ADR-002, or amend the ADR to record the features as deferred.",
SEC-01,Audio API has no authentication or authorization,security,High,M,src/audio_processor/api/routes.py;src/audio_processor/api/__init__.py,routes.py defines process/status/results/artifacts with zero auth dependencies; grep Depends|Security|Bearer returns 0,Add a router-level auth dependency (API key or OAuth2/JWT) and authorize result/artifact reads per caller identity.,
DOCS-01,README describes nonexistent API and CLI commands,docs,High,M,README.md,README.md:96-104 imports nonexistent YourModule; :110-116 shows nonexistent `process` CLI (only hello/config exist); :478-483 lists nonexistent core.py,Rewrite Overview/Usage/Structure from the real modules; port accurate content up from docs/guides/.,
DEP-04,"Base image digest pin goes stale, no auto security refresh",dependencies,Medium,S,Dockerfile;.trivyignore,"Dockerfile:7,42 digest-pin python:3.12-slim; .trivyignore enumerates ~30 base-image CVEs that accrue until the digest is manually bumped",Add a scheduled job (or Renovate Docker) to bump the base-image digest on a cadence and re-run Trivy.,
LEG-02,Cookiecutter demo tasks (incl. fake send_email_task) live in worker,legacy-code,Medium,S,src/audio_processor/jobs/worker.py,"worker.py:71 example_background_task, :102 send_email_task stub returns sent without sending, :138 process_file_upload; all registered :246-248",Delete the three demo tasks and their registrations; a stub email reporting success is a correctness hazard.,
QUAL-02,Duplicated audio-load helper across 3 services and loader,code-quality,Medium,S,src/audio_processor/services/quality_assessor.py;src/audio_processor/services/audio_conditioner.py;src/audio_processor/services/vad_processor.py;src/audio_processor/preprocessing/loader.py,"Token-identical sf.read/librosa.load fallback at quality_assessor.py:166, audio_conditioner.py:233, vad_processor.py:177/288, loader.py:92","Extract one load_audio(path, dtype) helper (reuse loader.py) and call it from the three services.",
QUAL-04,Tests un-collectable and coverage unmeasurable without extras,code-quality,Medium,S,tests/unit/;pyproject.toml,"pytest --collect-only -> 80 of 458 collected, 14 modules ERROR on import of missing extras; pytest-cov absent in partial env",Run the gate in CI with uv sync --all-extras and guard heavy-dep test modules with pytest.importorskip; record the real coverage figure.,
ARCH-02,Two exception modules; orphaned one used only by preprocessing/,architecture,Medium,S,src/audio_processor/exceptions.py;src/audio_processor/core/exceptions.py,exceptions.py (36 lines) imported only by preprocessing/ffmpeg.py:21 and loader.py:16; all live code uses core/exceptions.py,Fold AudioLoadError/FfmpegConversionError into core/exceptions.py and delete the top-level module.,
ARCH-04,Duplicated config values; preprocessing hardcodes config-owned tuning,architecture,Medium,S,src/audio_processor/core/config.py;src/audio_processor/preprocessing/loader.py;src/audio_processor/preprocessing/quality.py,config.py:103-163 owns the tuning values; preprocessing/loader.py:21 hardcodes TARGET_SAMPLE_RATE=16000 and quality.py:62 hardcodes 0.99,"Route preprocessing constants through core.config.settings, or remove them with ARCH-01.",
SEC-03,torch 2.9.1 unpatched local-CE CVE present in optional extras,security,Medium,S,uv.lock;osv-scanner.toml;pyproject.toml,"uv.lock pins torch 2.9.1, no upstream fix; suppressed pyproject.toml:648-653; absent from prod image (uv sync --no-dev, no --extra)",Keep the suppression; bump torch>= once a fixed release lands (reassess 2026-07-26). No action for the production image.,CVE-2026-4538
SEC-06,Sentry before_send scrubbing shallow and key-list-limited,security,Medium,S,src/audio_processor/core/sentry.py,"sentry.py:198-208 redacts only top-level keys in request data for a fixed 4-key set; headers, query string, and nested dicts not scrubbed","Recurse into nested structures, scrub request headers and the URL query string, match key names case-insensitively by substring.",
CICD-01,Test + coverage suite runs twice on every PR,cicd,Medium,S,.github/workflows/ci.yml;.github/workflows/pr-validation.yml,ci.yml:33 and pr-validation.yml:36 both call python-ci.yml@799ebd6 on identical PR triggers,Chain pr-validation off ci (workflow_run) or move its extra jobs into ci.yml and delete the duplicate caller.,
CICD-05,Reusable-workflow SHA skew across callers,cicd,Medium,S,.github/workflows/container-security.yml;.github/workflows/mutation-testing.yml,12 callers pin @799ebd6 but container-security.yml:43 and mutation-testing.yml:36 pin @a81c5c7,Pin all org reusable-workflow callers to a single reviewed SHA and update them together.,
CICD-06,basedpyright declared twice with conflicting floors,cicd,Medium,S,pyproject.toml,pyproject.toml:92 basedpyright>=1.18.0 vs pyproject.toml:835 basedpyright>=1.35.0,Keep a single basedpyright>=1.35.0 declaration and remove the stale >=1.18.0 line.,
CICD-09,Coverage gate authority split and partly soft,cicd,Medium,S,pyproject.toml;.codecov.yml;.github/workflows/ci.yml,Hard gate --cov-fail-under=80 (pyproject.toml:548) vs Codecov patch threshold 5% (.codecov.yml:28) and per-flag targets 70%,"Treat --cov-fail-under=80 as source of truth, tighten Codecov patch threshold, verify the reusable workflow is not continue-on-error.",
DOCS-03,draft_*.md files duplicate and contradict finalized planning docs,docs,Medium,S,docs/draft_vision.md;docs/draft_tech_spec.md;docs/draft_ADR.md;docs/draft_audio_preprocessing.md,"Four draft files (3142 lines, titled Project E) duplicate planning/; index.md:39 and PROJECT-PLAN.md:361 still link to them",Delete the four drafts and repoint the two references at docs/planning/adr/adr-001 and adr-002.,
DOCS-04,planning/README shows Awaiting Generation for docs that exist,docs,Medium,S,docs/planning/README.md,planning/README.md:37-40 marks project-vision/tech-spec/roadmap/adr as Awaiting Generation though all are populated,Update the four status cells to Generated/Accepted; feed the placeholder pattern back to the template.,
DEP-02,pydub unmaintained; audioop removed in Python 3.13,dependencies,Medium,M,pyproject.toml;uv.lock,"pyproject.toml:160 pydub>=0.25.1; PyPI last release 2021-03-10; imports audioop removed by PEP 594, and requires-python:12 admits 3.13","Drop pydub for librosa/soundfile, or add audioop-lts; python_version>='3.13' and test on 3.13. Verify it is actually imported first.",
QUAL-03,"109 inline ignores on 2 untyped lib boundaries, no prose reason",code-quality,Medium,M,src/audio_processor/core/cache.py;src/audio_processor/core/sentry.py;src/audio_processor/jobs/worker.py,"git grep -> 109 rule-coded ignores; 36 in cache.py (redis+structlog), 24 in sentry.py (sentry_sdk dict access); none carry the inline reason CLAUDE.md requires","Type the structlog logger once, wrap redis (or add stubs), add a one-line reason per remaining block to shrink toward ~20 irreducible cases.",
ARCH-06,Heavy libs imported at module top; services unimportable without extras,architecture,Medium,M,src/audio_processor/services/;src/audio_processor/preprocessing/;pyproject.toml,"numpy/torch/librosa/scipy/soundfile are top-level runtime imports (services/vad_processor.py:15-18 et al) but live behind extras (pyproject.toml:127-163), so import audio_processor.services hard-fails without extras",Defer heavy imports into method bodies or TYPE_CHECKING (mirror the deepgram lazy-import at audio_tasks.py:159) so the extras boundary is real.,
